지엘 핏,"서울특별시 도봉구 시루봉로 64 (쌍문동,센터빌딩 4층)"
마하헬스크럽,"서울특별시 서초구 방배천로2안길 23  (방배동,2층)"
노블휘트니스 구로점,"서울특별시 구로구 시흥대로 551 (구로동,광희빌딩 B2)"
우성A휘트니스,서울특별시 서초구 사임당로 158 (서초동)
교통문화교육원 헬스크럽,"서울특별시 관악구 남현1길 38-10, 1층 (남현동)"
스타트 짐,"서울특별시 성동구 성덕정길 106, 승재빌딩  4층 (성수동2가)"
월곡건강랜드,"서울특별시 성북구 화랑로7길 32, 월곡송림건강랜드 (하월곡동)"
제일메가스포,서울특별시 종로구 율곡로 202-7 (연건동)
플러스 휘트니스클럽,"서울특별시 성북구 개운사길 18  (안암동5가,청평빌딩 3,4층)"
휘트니스 모션,"서울특별시 서초구 방배로 205 (방배동, 3층)"
노블휘트니스클럽 강북구,"서울특별시 강북구 한천로 1093 (수유동, 하나은행)"
레드우드 휘트니스,"서울특별시 관악구 미성길 27, 4,5층 (신림동)"
영 휘트니스,서울특별시 관악구 신림로 206 (신림동)
바디짐 휘트니스,서울특별시 관악구 양녕로 29 (봉천동)
에스짐,"서울특별시 도봉구 방학로 196 (방학동, 미륭프라자 4층)"
짐어스,"서울특별시 강남구 삼성로 38 (개포동,지상6층)"
에이치짐 돌곶이점,"서울 성북구 화랑로 248 장위뉴타워 15층, (석관동 349-1)"
마이핏 휘트니스,"서울특별시 노원구 공릉로63길 13 (하계동,5층)"
프레토 휘트니스,"서울특별시 동작구 보라매로 113, 코스모빌딩 5층 (대방동)"
아이언짐 신길점,"서울특별시 영등포구 신길로 59, 지하1층 (신길동, 샘탑빌딩)"
휘트니스베이 24시 천호점,"서울특별시 강동구 천호대로 995, 금복빌딩 (천호동)"
Double 휘트니스 클럽,서울특별시 강북구 인수봉로 293  (수유동)
헬스존,서울특별시 영등포구 당산로33길 9 (당산동3가)
월드컵스파랜드24 체력단련장,"서울특별시 마포구 월드컵로 240, 1층 (성산동)"
(주)킹콩휘트니스,"서울특별시 동작구 상도로 222 (상도동, 재웅빌딩)"
코엑스짐 군자역점,"서울특별시 광진구 능동로 314, 공영빌딩 6층 전체, 5층 502호 (중곡동)"
워너핏휘트니스,"서울특별시 노원구 노원로1길 67, 대덕프라자 3층 306, 307, 310, 311호 (공릉동)"
S휘트니스,"서울특별시 강동구 풍성로45길 18 (성내동, 중앙아파트)"
방배역점 스포애니 주)케이디스포츠,"서울특별시 서초구 방배로 81 (방배동,6층)"
대성권투체육관,"서울특별시 마포구 홍익로5길 25, 4층 (서교동)"
리버사이드 스포츠,"서울특별시 광진구 아차산로78길 44, 지하1층 (광장동)"
맨하탄휘트니스,맨하탄휘트니스
올림픽휘트니스,"서울특별시 성동구 뚝섬로 400, 뚝섬쇼핑센타 3층 (성수동2가)"
(주)옥수 투엑스 휘트니스,"서울특별시 성동구 독서당로 166, B201호 (옥수동, 성원상떼뷰)"
뉴크로핏,"서울특별시 노원구 동일로192길 63, 화랑빌딩 4층 (공릉동)"
휴레스트웰빙클럽,휴레스트웰빙클럽
고위드 피트니스 명일점,서울특별시 강동구 양재대로 1661 (명일동)
엘리트짐 광진구,서울특별시 광진구 자양로 86 (자양동)
해피 휘트니스 클럽,"서울특별시 강서구 허준로 198 (가양동,가양프라자 205호, 206호)"
리콥 웰니스센터,"서울특별시 용산구 한남대로21길 14, 3,4층 (한남동, 느티나무한의원)"
B&B(143),"서울특별시 강남구 학동로 205  (논현동,지상2층)"
미지휘트니스골프클럽,"서울특별시 마포구 백범로 23, 4층 (신수동, 구플라자)"
시티짐 시그니처,"서울특별시 성북구 종암로 129 (종암동,청한상가 2층)"
멋GYM휘트니스(성북월곡점),"서울특별시 성북구 오패산로 45 (하월곡동,3층)"
스카이 토탈 휘트니스 센타,"서울특별시 강서구 강서로54길 42 (등촌동,2층)"
솔 휘트니스 ＆ 스포츠크리닉,"서울특별시 강서구 금낭화로 9 (방화동,용환빌딩 4층 401호)"
우리헬스,우리헬스
엔젤스 헤이븐,"서울특별시 은평구 백련산로4길 16, 은평청소년수련관 (응암동)"
슈퍼스타 휘트니스 종로구,"서울특별시 종로구 대학로 144, 3층 (혜화동)"
ELITE FIT 24,서울특별시 마포구 월드컵로 87 (망원동)
비타민헬스휘트니스,"서울특별시 영등포구 양평로24길 9 (양평동5가, 양평동한신아파트)"
바디앤소울,"서울특별시 광진구 군자로 137  (군자동,2층)"
써니휘트니스헬스,"서울특별시 은평구 증산로15길 26, 3층 (신사동)"
주식회사 관악투엑스휘트니스,"서울특별시 관악구 청림6길 3, 401호 (봉천동,대우푸르지오 상가)"
오버탑휘트니스,"서울특별시 구로구 경인로 572, 스타팰리스 301~307호 (구로동)"
현봉휘트니스,서울특별시 은평구 통일로92길 4 (불광동)
팜 휘트니스,팜 휘트니스
Fitness body No.1,"서울특별시 도봉구 덕릉로53길 82, 3,4층 (창동)"
응암역점 스포애니 (주)케이디스포츠,"서울특별시 은평구 연서로 9, 지하1층 (역촌동, 센타폴리스)"
토마토휘트니스클럽,"서울특별시 서초구 신반포로47길 30  (잠원동,(2,3,4층))"
스타헬스,"서울특별시 강동구 진황도로 185 (둔촌동, 둔촌동현대아파트분산상가동)"
IXU 웰니스 짐,"서울특별시 구로구 도림천로 446, 101동 B101호 (구로동,예성유토피아)"
휴맥스 휘트니스크럽,"서울특별시 동대문구 장한로 40  (장안동,지하1층, 4층)"
드림헬스클럽,"서울특별시 광진구 천호대로129길 29  (중곡동,2층)"
광명 휘트니스,"서울특별시 광진구 면목로17길 40 (중곡동, 동방프라자 지하1층 101호, 102호)"
브이,서울특별시 금천구 독산로 123 (시흥동)
